Rank,Commander,Deck_Count
590,"Chandra, Fire of Kaladesh","2,467"
591,"Wyll, Blade of Frontiers // Sword Coast Sailor","2,464"
592,"Iron Man, Titan of Innovation","2,454"
593,"Ghired, Mirror of the Wilds","2,439"
594,"Tekuthal, Inquiry Dominus","2,439"
595,"Edric, Spymaster of Trest","2,431"
596,"Pia Nalaar, Consul of Revival","2,430"
597,"Zurzoth, Chaos Rider","2,414"
598,Isu the Abominable,"2,397"
599,"Gorion, Wise Mentor","2,385"
600,"Adeline, Resplendent Cathar","2,376"
601,The Ancient One,"2,374"
602,"Gisela, Blade of Goldnight","2,368"
603,"Niv-Mizzet, Guildpact","2,368"
604,"Tazri, Beacon of Unity","2,367"
605,"Ian Malcolm, Chaotician","2,367"
606,"Titania, Voice of Gaea","2,366"
607,"Kros, Defense Contractor","2,365"
608,Imskir Iron-Eater,"2,365"
609,"Liesa, Forgotten Archangel","2,349"
610,"Odric, Lunarch Marshal","2,349"
611,"Rona, Herald of Invasion","2,345"
612,Polukranos Reborn,"2,336"
613,Ghalta and Mavren,"2,327"
614,Lurrus of the Dream-Den,"2,324"
615,"Kroxa, Titan of Death's Hunger","2,310"
616,Glissa Sunslayer,"2,287"
617,"Xira, the Golden Sting","2,286"
618,"Oskar, Rubbish Reclaimer","2,285"
619,"Lae'zel, Vlaakith's Champion // Master Chef","2,278"
620,"Trelasarra, Moon Dancer","2,276"
621,"Ruxa, Patient Professor","2,269"
622,"Ashling, Flame Dancer","2,260"
623,"Legolas, Master Archer","2,259"
624,Neyith of the Dire Hunt,"2,250"
625,"Xanathar, Guild Kingpin","2,250"
626,"Ramses, Assassin Lord","2,249"
627,"Rielle, the Everwise","2,241"
628,The Pride of Hull Clade,"2,236"
629,"Rograkh, Son of Rohgahh // Thrasios, Triton Hero","2,223"
630,"Finneas, Ace Archer","2,216"
631,Queen Kayla bin-Kroog,"2,213"
632,"Ghen, Arcanum Weaver","2,213"
633,"Auntie Blyte, Bad Influence","2,209"
634,"Delina, Wild Mage","2,201"
635,River Song,"2,196"
636,Ruhan of the Fomori,"2,193"
637,The Goose Mother,"2,192"
638,The Swarmlord,"2,191"
639,God-Eternal Oketra,"2,186"
640,The Scorpion God,"2,180"
641,"Baeloth Barrityl, Entertainer // Raised by Giants","2,175"
642,"Nymris, Oona's Trickster","2,174"
643,"Lavinia, Azorius Renegade","2,172"
